variant,start,len,thread,bits,spec,ours,theirs,ours_ok,theirs_ok,agree
u32,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,1,0xffffffff,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,2,0xaaaaaaaa,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,3,0x55555555,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,5,0x7fffffff,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,6,0x00000001,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,7,0xfffffffe,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,8,0xdeadbeef,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,9,0xcafebabe,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,10,0x12345678,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,11,0x87654321,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,12,0x000000ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,14,0x0f0f0f0f,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,15,0xf0f0f0f0,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,16,0x00ff00ff,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,17,0xff00ff00,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,18,0x33333333,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,19,0xcccccccc,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,20,0x00000100,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,21,0x00000400,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,24,0x01234567,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,25,0x89abcdef,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,26,0xfedcba98,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,27,0x76543210,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,28,0x3fffffff,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,30,0x20202020,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,0,31,0xa5a5a5a5,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,1,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,1,1,0xffffffff,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,1,2,0xaaaaaaaa,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,1,3,0x55555555,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,1,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,1,5,0x7fffffff,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,1,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,1,7,0xfffffffe,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,1,8,0xdeadbeef,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,1,9,0xcafebabe,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,1,10,0x12345678,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,1,11,0x87654321,0x00000001,0x00000001,0x00000001,1,1,1
